source_id,kohde,tyyppi,kunta,lisatieto,palvelut,linkki,lipas_type_name,lipas_type_code,lipas_loi_type,omistaja,yllapitaja,sijainti,x_eureffin,y_eureffin,geometry
119,,Opastaulu,Paimio,,,,,,information-board,Muu,Kunta / tekninen toimi,,264676.030970914,6706512.22478622,Point (264676.03097091 6706512.22478622)
120,Hiihtoputki Finnfoam Paippi,Opastaulu,Paimio,,,,,,information-board,Muu,Kunta / tekninen toimi,,264314.820590709,6706424.70857363,Point (264314.82059071 6706424.70857363)
121,Rekottilan linnavuori,Opastaulu,Paimio,,,,,,information-board,Muu,Yksityinen / yhdistys,,265996.635018578,6706666.23353592,Point (265996.63501858 6706666.23353592)
122,Rekottilan linnavuori,Pysakointialue,Paimio,,,,,,parking-spot,Muu,Muu,,265996.967463925,6706671.69931481,Point (265996.96746393 6706671.69931481)
123,Rekottilan linnavuori,Nahtavyys,Paimio,Rekottilan linnavuorella on nähtävissä muinaislinnan jäänteitä ja hautaröykkiöitä,,,,,historical-structure,Muu,Yksityinen / yhdistys,,265929.43103762,6706647.52146969,Point (265929.43103762 6706647.52146969)
125,Paimion parantola / Paimio sanatorium,Nahtavyys,Paimio,Lisätietoja parantolasta saat parantolan vekrkosivuilta,,https://paimiosanatorium.com/fi/etusivu/,,,building,Säätiö,Yksityinen / säätiö,,265569.866815101,6710800.39350339,Point (265569.8668151 6710800.39350339)
126,"Parantolan metsän, polun ja Preitilän reitin pysäköintialue",Pysakointialue,Paimio,,,,,,parking-spot,Säätiö,Yksityinen / säätiö,,265696.422288982,6710604.3661317,Point (265696.42228898 6710604.3661317)
127,Paimio Disc Golf Park,Opastaulu,Paimio,Paimion frisbeegolfpuistossa on täysimittainen 18 -väyläinen rata sekä 6 väyläinen multigolfrata,,,,,information-board,Kunta,Kunta / tekninen toimi,,264803.248570586,6709828.12431544,Point (264803.24857059 6709828.12431544)
128,Spurilan muinaisjäännösalue,Nahtavyys,Paimio,,,,,,historical-structure,Kunta,Yksityinen / yhdistys,,263578.314127463,6710833.24520898,Point (263578.31412746 6710833.24520898)
130,Kaupungintalo ja kirjasto,Infopiste,Paimio,Kaupungin matkailuneuvonta muulloin kuin kesäaikaan,,www.paimio.fi / https://visitpaimio.fi/,Opastuspiste,207.0,,Kunta,Kunta / muu,,263146.863503707,6709912.83506323,Point (263146.86350371 6709912.83506323)
131,Paimion matkailuneuvonta kesäaikaan,Infopiste,Paimio,,,www.paimio.fi / https://visitpaimio.fi/,Opastuspiste,207.0,,Kunta,Kunta / muu,,263200.629152402,6709554.71762843,Point (263200.6291524 6709554.71762843)
132,Käsityömuseo Miila,Nahtavyys,Paimio,Katso lisätietoja kaupungin verkkosivuilta,,https://www.paimio.fi/kulttuuri-ja-vapaa-aika/museot/kasityomuseo-miila/,,,building,Säätiö,Yksityinen / säätiö,,263152.801264069,6709518.57733855,Point (263152.80126407 6709518.57733855)
133,Paimion sähkömuseo,Nahtavyys,Paimio,Sähkötekniikan erikoismuseo Paimion Sähkömuseo sijaitsee Paimion keskustassa.,,https://www.paimio.fi/kulttuuri-ja-vapaa-aika/museot/paimion-sahkomuseo/,,,building,Kunta,Kunta / muu,,263200.838226072,6709572.10765676,Point (263200.83822607 6709572.10765676)
134,"Paimion kirkko, eli Pyhän Mikaelin kirkko",Nahtavyys,Paimio,,,https://www.paimionseurakunta.fi/kirkot-ja-tilat/paimion-kirkko,,,building,Muu,Muu,,263150.580325933,6709818.6977241,Point (263150.58032593 6709818.6977241)
135,Räpälän vanhan kirkon paikka,Nahtavyys,Paimio,,,,,,building,Muu,Muu,,262248.966581459,6710449.01320297,Point (262248.96658146 6710449.01320297)
136,Pyhän Jaakobin kirkko,Nahtavyys,Paimio,,,,,,building,Muu,Muu,,260019.565899436,6706396.4684604,Point (260019.56589944 6706396.4684604)
137,Näkymä Paimionjokilaaksoon,Nakoala,Paimio,,,,,,viewpoint,Muu,Yksityinen / yhdistys,,262819.487765154,6711947.61805062,Point (262819.48776515 6711947.61805062)
138,Rekottilan linnavuori,Nakoala,Paimio,Näkymä Kevolan peltoaukealle,,,,,viewpoint,Muu,Yksityinen / yhdistys,,265928.283570338,6706632.95857528,Point (265928.28357034 6706632.95857528)
139,Askalan pysäköintialue,Pysakointialue,Paimio,,,,,,parking-spot,Muu,Yksityinen / yhdistys,,263526.546090176,6715358.88376285,Point (263526.54609018 6715358.88376285)
140,,Pysakointialue,Kaarina,HUOM! P-paikat on varattu vain koulun henkilökunnan käyttöön arkisin klo 7-15.,,,,,parking-spot,Kunta,Kunta / muu,Auranlaakso koulu,245421.339979275,6712608.41942186,Point (245421.33997928 6712608.41942186)
141,Muikunvuori,Nakoala,Kaarina,,,,,,viewpoint,Kunta,,,244960.420023933,6712413.47395709,Point (244960.42002393 6712413.47395709)
142,Hovirinnan uimarannan pysäköintialue,Pysakointialue,Kaarina,,,,,,parking-spot,Kunta,Kunta / muu,,245390.309064287,6704469.21136136,Point (245390.30906429 6704469.21136136)
143,Liikenne- ja leikkipuisto,Aktiviteetti,Kaarina,,,,Liikuntapuisto,1110.0,,Kunta,Kunta / muu,Hovirinnan rantapuisto,245313.182512017,6704750.97661256,Point (245313.18251202 6704750.97661256)
145,Oleskelulaituri,Rantautuminen,Kaarina,,,,Rantautumispaikka,205.0,,Kunta,Kunta / muu,Rauhalinnan luontopolku,246589.758748583,6704909.48378697,Point (246589.75874858 6704909.48378697)
146,Mökkigalleria,Nahtavyys,Kaarina,,,https://mokkigalleria.fi/,,,building,Muu,Muu,,246545.968819876,6705533.50148605,Point (246545.96881988 6705533.50148605)
148,Voivalan uimarannan pysäköintialue,Pysakointialue,Kaarina,,,,,,parking-spot,Kunta,Kunta / muu,,247632.006660487,6705243.49420093,Point (247632.00666049 6705243.49420093)
149,Karpanmäen luonnonsuojelualue,Luonnonnahtavyys,Kaarina,Karpanmäen lehto,,,,,natural-attraction,Valtio,Muu,,248048.106944822,6705479.79438322,Point (248048.10694482 6705479.79438322)
150,Tuorlan kartano,Nahtavyys,Kaarina,Ammattiopisto Livia,,,,,building,Muu,Muu,"Ammattiopisto Livia, Tuorla",248887.985027297,6706422.13482976,Point (248887.9850273 6706422.13482976)
151,Tuorlan pysäköintialue,Pysakointialue,Kaarina,,,,,,parking-spot,Muu,,,248942.962200518,6706433.71446207,Point (248942.96220052 6706433.71446207)
152,Ammattiopisto Livia,Opastaulu,Kaarina,Tuorlan alueen opastaulu,,,,,information-board,Muu,,,248952.656323664,6706458.31019259,Point (248952.65632366 6706458.31019259)
